"","GSM2550529_10SE2524.CEL.gz","GSM2550530_10SE2525.CEL.gz","GSM2550531_10SE2526.CEL.gz","GSM2550532_10SE2527.CEL.gz","GSM2550533_10SE2528.CEL.gz","GSM2550534_10SE2529.CEL.gz"
"Les.1568.1.A1_at",5.46822617630351,5.31978603935018,5.1171935586085,5.16492381689935,5.44733820411031,5.22853947835366
"Les.1569.1.S1_at",9.57476323728947,9.57753490368675,9.8568559422207,9.81434332808534,9.67420783550201,9.94740822338476
"Les.157.1.S1_at",8.55084115652561,8.33999013447767,8.61949086549387,11.2291068291153,10.3580147694528,11.5141354693826
"Les.1570.1.S1_at",9.56082787010629,9.00272263407475,9.43361811333115,9.18480101210477,9.02382028708252,9.28503590954405
"Les.1573.1.A1_at",9.70818693116244,9.60698696739463,9.48294799754352,9.37605567482152,9.50237658823403,9.39602782052266
"Les.1574.1.A1_at",9.15985822609273,8.89441465929663,9.11593483271499,8.95833737638816,8.75695999841141,8.96104456121235
"Les.1577.1.A1_at",11.0296730098223,11.3506129690728,11.2202779731757,11.3258483783421,11.6906005013831,11.5948134075706
"Les.1581.1.A1_at",5.3362809952386,5.10318454492718,4.97223576945616,5.11709692431697,5.30092844304733,5.40838871897754
"Les.1582.1.S1_at",9.99171252604546,9.84724932449491,9.95500623511498,9.90404651436618,9.88741425569327,10.0284750233632
"Les.1583.1.S1_at",10.3490821397788,10.4271252853773,10.4666477627515,10.7606918294199,10.5836998171243,10.8312665363936
"Les.1584.1.A1_at",4.13875379728178,4.36346475697641,4.19611975632108,4.046288854722,4.36179168689584,4.0055454555438
"Les.1585.1.S1_at",6.92756378396632,6.76859552728667,6.82491413747064,6.77047898566552,6.49154501533577,6.81763891342908
"Les.1586.1.A1_at",9.15936155963363,9.24587248141942,8.98135880388236,9.16608244656176,9.31750859555086,9.12083079978862
"Les.1587.1.A1_at",4.25599504501535,4.47186899274798,4.44280865159791,4.19348543804207,4.1874406325757,4.38230657125067
"Les.1588.1.A1_at",3.3338027048922,3.43481513790999,3.23791167643468,3.39480093039215,3.36917246501112,3.28826936854462
"Les.159.1.S1_at",11.3772768252009,11.5009181992825,11.5280108451067,11.7861203496871,11.620334589002,12.0785128782526
"Les.1590.1.A1_at",8.37431218075121,8.45396051624899,8.21525649069492,8.60993558683419,8.49959464824151,8.73564905451071
"Les.1591.1.A1_at",9.64052000159718,9.54771760800872,9.58841223967504,9.75681305845962,9.62148720007044,9.86983229037131
"Les.1592.1.A1_at",9.99528025472883,10.0881513250977,10.0053477488202,9.91370920031923,10.036113472973,9.96952319652485
"Les.1594.1.S1_at",7.98116153989252,7.51828305725358,7.81261661259142,7.29143064661246,7.65486456815687,7.18977926338847
"Les.1596.1.A1_at",9.80785922903248,9.59266607062348,9.64766093064659,10.2422487175841,10.4992161815863,10.950850215903
"Les.1597.1.A1_at",6.07123663839623,5.97390996186055,6.1200019510397,5.89859986032232,6.09053677319097,6.19124495324665
"Les.1598.1.S1_at",7.66361698413423,7.61743583897597,7.57317945756585,7.83447600016005,7.33494798665194,7.65748998132925
"Les.1599.1.A1_at",4.05873537356006,4.17818206395243,4.34331006083263,4.30871800586766,4.4233167007087,4.28767614599157
"Les.16.1.S1_at",4.25387729106164,3.81980631007789,4.16707958307714,3.97376378528161,4.07231528857399,3.78005246750133
"Les.160.1.S1_at",10.6982612698586,10.5772663646199,10.6074363383043,10.663890121477,10.6396351801437,10.658334665375
"Les.1601.1.A1_at",5.20897526479753,5.10460586433115,5.025851232386,4.87400244737584,5.29624919791428,5.20259610230108
"Les.1602.1.S1_at",6.65265788223547,6.85063344686221,6.81336936508132,7.67655126230054,7.13574732938827,7.86035998883504
"Les.1603.1.A1_at",12.412715702963,12.6092005869411,12.3126728426307,11.4109891702359,12.4247287956752,10.9629311437815
"Les.1604.1.A1_at",5.46652421366623,5.22820467864053,5.41583508778107,6.16267908256236,5.21005267990609,5.75451466198016
"Les.1606.1.S1_at",10.9904948882591,11.3711127389083,10.7460465661817,11.5055847273595,11.7788300208303,11.5067929905678
"Les.1609.1.S1_at",8.23438988375374,8.78405460745985,8.65508998259826,8.14619302408877,8.49398635029725,8.71184323101617
"Les.1609.2.A1_at",5.29464850911068,5.24087100348741,5.51942096456477,5.54396548061344,5.563264347118,5.81558748862383
"Les.161.1.S1_at",13.943061266944,13.9927684313864,14.041258344615,14.0145167750314,13.9403514819881,14.12091125782
"Les.1610.1.S1_at",11.9226615773366,11.5181902165716,12.0028563840595,10.657617553339,10.3921953505986,10.6219276617978
"Les.1611.1.A1_at",9.28183750668431,9.13584065870214,9.20286145222592,9.10813742267466,9.28223912974182,9.10458570510611
"Les.1613.1.A1_at",4.16643798045001,4.27880274311571,4.17265794036035,4.48675349931951,4.30382741394648,4.15227754548719
"Les.1613.2.S1_at",11.1045560570469,11.1041995463587,11.0218779784696,11.7746952409616,11.4403952425818,11.4360155292612
"Les.1614.1.A1_at",8.16093285055616,8.08819954263347,8.13982865558244,8.07886620325842,8.20485644948772,7.85340284982742
"Les.1616.1.S1_at",10.6592454997015,10.6881245559853,10.6621390912893,10.7210831408847,10.8947104345025,10.9927845045462
"Les.1616.2.S1_at",8.37422862617745,8.4935352903046,8.56483851158051,8.65965693641868,8.53854494793775,8.56984647377061
"Les.1616.3.S1_at",8.65353992210244,8.8150203513777,8.72269689766322,8.90207020741725,8.82681056673663,9.0069341658572
"Les.1617.1.S1_s_at",10.6990232423656,11.3820987674483,10.9197486110417,10.448605573449,11.6805290150898,10.9328067100643
"Les.1617.2.S1_s_at",11.2831345579001,11.8983205533751,11.5242397754293,11.0121142761193,12.1609924287272,11.4673565350981
"Les.1617.3.A1_s_at",11.1326266314284,11.3843259075981,11.1134487687535,10.7159790086147,11.5529131964736,11.2935352817074
"Les.1618.1.A1_at",4.20033874664354,4.03043277705345,4.05085958879532,3.95273840184828,3.89239009215553,3.96245019874892
"Les.1619.1.S1_at",9.39926250084446,8.8198650048987,9.11785932893991,8.62281753260867,8.56779779817486,8.35814372788036
"Les.1619.2.S1_at",9.34118847029951,8.9074715571575,9.06060917976124,8.56275589113729,8.45980881735886,8.21022015469134
"Les.1619.3.S1_at",9.4604908251571,8.93058564347377,9.07909932040677,8.67520944660826,8.43874250605488,8.39789374292363
"Les.162.1.S1_at",7.91459577170142,7.79718422892475,7.87408342020741,8.2219836014984,7.95691561448398,8.17481032526409
"Les.162.2.S1_at",10.1512714523006,10.0275175314481,10.2021770783094,10.4844698323259,10.2072467599859,10.5695234749752
"Les.162.3.S1_a_at",9.46988076701446,9.69628405284317,9.55578545499694,9.99007493496972,9.76915658585093,10.0411149569318
